2026-04-27 20:22:50 | Ticket #27 | IA: Gemini | Catégorie: Réseau
2026-04-27 20:24:52 | Ticket #28 | IA: Gemini | Catégorie: Général
2026-04-27 23:40:02 | Ticket #137 | IA: Gemini | Catégorie: Général
2026-04-27 23:53:34 | Ticket #138 | IA: Gemini | Catégorie: Général
2026-04-27 23:56:23 | Ticket #139 | IA: Gemini | Catégorie: Réseau
2026-05-01 17:55:13 | Ticket #32 | IA: Gemini | Catégorie: Général
2026-05-01 17:59:55 | Ticket #33 | IA: Gemini | Catégorie: Matériel
2026-05-01 19:23:05 Gemini Error HTTP 404
2026-05-01 19:23:05 Gemini Error HTTP 404
2026-05-02 16:48:48 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 17:24:50 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 17:24:52 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 17:59:29 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 17:59:32 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 18:09:59 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 18:10:02 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:10:18 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:10:21 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:16:20 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:16:23 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:27:14 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:27:17 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:30:39 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:30:41 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:33:27 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:33:29 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:36:23 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:36:25 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:37:07 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:37:09 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:43:25 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:43:27 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:44:18 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:44:21 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:54:19 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:54:21 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:57:06 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 19:57:08 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 20:00:44 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 20:00:47 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 20:03:57 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 20:04:00 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 20:07:57 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 20:07:59 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 20:23:00 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-02 20:23:02 Gemini Error HTTP 429 |  | URL: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=AIzaSyCRDEoYJV_x82QwqGrD2jUn1MHaQzSvld8
2026-05-09 22:20:10 | Ticket #50 | IA | Catégorie: Non spécifié
2026-05-09 22:26:32 | Ticket #51 | IA | Catégorie: Divers
2026-05-10 09:12:10 | Ticket #52 | IA | Catégorie: Matériel
2026-05-13 23:32:00 | Ticket #55 | IA | Catégorie: Matériel
2026-05-14 00:09:54 | Ticket #63 | IA | Catégorie: Matériel
2026-05-14 00:21:23 | Ticket #66 | IA | Catégorie: Logiciel
2026-05-14 00:21:54 | Ticket #67 | IA | Catégorie: Matériel
